Run ID,Wrapper Tier,Source Database,Data Extracted,Status,Error Rate (%),Notes/Error Details
RUN_081,Tier 0,GWAS Catalog,SNP-Trait Association Table,Success,0.08,Minor parsing artifact / formatting mismatch
RUN_082,Tier 0,DisGeNET,Disease-Gene Association Table,Success,0.6,Minor parsing artifact / formatting mismatch
RUN_083,Tier 0,GWAS Catalog,SNP-Trait Association Table,Success,0.0,None
RUN_084,Tier 0,GWAS Catalog,SNP-Trait Association Table,Success,0.79,Minor parsing artifact / formatting mismatch
RUN_085,Tier 0,GWAS Catalog,SNP-Trait Association Table,Success,0.38,Minor parsing artifact / formatting mismatch
RUN_086,Tier 0,DisGeNET,Disease-Gene Association Table,Success,0.0,None
RUN_087,Tier 0,DisGeNET,Disease-Gene Association Table,Success,0.0,None
RUN_088,Tier 0,DisGeNET,Disease-Gene Association Table,Success,0.36,Minor parsing artifact / formatting mismatch
RUN_089,Tier 0,DisGeNET,Disease-Gene Association Table,Success,0.0,None
RUN_090,Tier 0,DisGeNET,Disease-Gene Association Table,Success,0.0,None
RUN_091,Tier 0,DisGeNET,Disease-Gene Association Table,Success,0.42,Minor parsing artifact / formatting mismatch
RUN_092,Tier 0,DisGeNET,Disease-Gene Association Table,Success,0.26,Minor parsing artifact / formatting mismatch
RUN_093,Tier 0,ClinVar,Variant Interpretation List,Success,0.0,None
RUN_094,Tier 0,ClinVar,Variant Interpretation List,Success,0.0,None
RUN_095,Tier 0,ClinVar,Variant Interpretation List,Success,0.0,None
RUN_096,Tier 0,DisGeNET,Disease-Gene Association Table,Success,1.31,Minor parsing artifact / formatting mismatch
RUN_097,Tier 0,ClinVar,Variant Interpretation List,Success,0.16,Minor parsing artifact / formatting mismatch
RUN_098,Tier 0,GWAS Catalog,SNP-Trait Association Table,Success,0.0,None
RUN_099,Tier 0,DisGeNET,Disease-Gene Association Table,Success,1.45,Minor parsing artifact / formatting mismatch
RUN_100,Tier 0,ClinVar,Variant Interpretation List,Success,0.91,Minor parsing artifact / formatting mismatch
RUN_101,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,1.53,Minor parsing artifact / formatting mismatch
RUN_102,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.47,Minor parsing artifact / formatting mismatch
RUN_103,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_104,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_105,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_106,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_107,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_108,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_109,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_110,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_111,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_112,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_113,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,1.54,Minor parsing artifact / formatting mismatch
RUN_114,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_115,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.27,Minor parsing artifact / formatting mismatch
RUN_116,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.23,Minor parsing artifact / formatting mismatch
RUN_117,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.01,Minor parsing artifact / formatting mismatch
RUN_118,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_119,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.41,Minor parsing artifact / formatting mismatch
RUN_120,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_121,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_122,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.25,Minor parsing artifact / formatting mismatch
RUN_123,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.09,Minor parsing artifact / formatting mismatch
RUN_124,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.83,Minor parsing artifact / formatting mismatch
RUN_125,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.08,Minor parsing artifact / formatting mismatch
RUN_126,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_127,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_128,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_129,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.54,Minor parsing artifact / formatting mismatch
RUN_130,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_131,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_132,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_133,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.06,Minor parsing artifact / formatting mismatch
RUN_134,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.36,Minor parsing artifact / formatting mismatch
RUN_135,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_136,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_137,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.18,Minor parsing artifact / formatting mismatch
RUN_138,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,1.23,Minor parsing artifact / formatting mismatch
RUN_139,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_140,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_141,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.2,Minor parsing artifact / formatting mismatch
RUN_142,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.18,Minor parsing artifact / formatting mismatch
RUN_143,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.13,Minor parsing artifact / formatting mismatch
RUN_144,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.89,Minor parsing artifact / formatting mismatch
RUN_145,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_146,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_147,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_148,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_149,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.33,Minor parsing artifact / formatting mismatch
RUN_150,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_151,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_152,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_153,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,1.03,Minor parsing artifact / formatting mismatch
RUN_154,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.03,Minor parsing artifact / formatting mismatch
RUN_155,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.11,Minor parsing artifact / formatting mismatch
RUN_156,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_157,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_158,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_159,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_160,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_161,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_162,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.73,Minor parsing artifact / formatting mismatch
RUN_163,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_164,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.26,Minor parsing artifact / formatting mismatch
RUN_165,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_166,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,1.8,Minor parsing artifact / formatting mismatch
RUN_167,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_168,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.61,Minor parsing artifact / formatting mismatch
RUN_169,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.01,Minor parsing artifact / formatting mismatch
RUN_170,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_171,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.16,Minor parsing artifact / formatting mismatch
RUN_172,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,1.74,Minor parsing artifact / formatting mismatch
RUN_173,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_174,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_175,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_176,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_177,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_178,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.12,Minor parsing artifact / formatting mismatch
RUN_179,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Failure,100.0,Session/Network Timeout
RUN_180,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_181,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.37,Minor parsing artifact / formatting mismatch
RUN_182,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_183,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.06,Minor parsing artifact / formatting mismatch
RUN_184,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_185,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.25,Minor parsing artifact / formatting mismatch
RUN_186,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,1.25,Minor parsing artifact / formatting mismatch
RUN_187,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_188,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_189,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_190,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_191,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_192,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.27,Minor parsing artifact / formatting mismatch
RUN_193,Tier 1,PubMed Article,"Attributes: Title, Abstract, DOI",Success,0.0,None
RUN_194,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.55,Minor parsing artifact / formatting mismatch
RUN_195,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_196,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_197,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.0,None
RUN_198,Tier 1,NCBI Gene,"Attributes: Symbol, Full Name, ID",Success,0.94,Minor parsing artifact / formatting mismatch
RUN_199,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_200,Tier 1,UniProt Entry,"Attributes: Function, GO Terms",Success,0.0,None
RUN_201,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.85,Minor parsing artifact / formatting mismatch
RUN_202,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_203,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_204,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_205,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_206,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_207,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.06,Minor parsing artifact / formatting mismatch
RUN_208,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_209,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,1.1,Minor parsing artifact / formatting mismatch
RUN_210,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.09,Minor parsing artifact / formatting mismatch
RUN_211,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_212,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.31,Minor parsing artifact / formatting mismatch
RUN_213,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_214,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_215,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_216,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_217,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.92,Minor parsing artifact / formatting mismatch
RUN_218,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.47,Minor parsing artifact / formatting mismatch
RUN_219,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_220,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.67,Minor parsing artifact / formatting mismatch
RUN_221,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.01,Minor parsing artifact / formatting mismatch
RUN_222,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.31,Minor parsing artifact / formatting mismatch
RUN_223,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.74,Minor parsing artifact / formatting mismatch
RUN_224,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_225,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_226,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.37,Minor parsing artifact / formatting mismatch
RUN_227,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_228,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_229,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.29,Minor parsing artifact / formatting mismatch
RUN_230,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_231,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_232,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.12,Minor parsing artifact / formatting mismatch
RUN_233,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_234,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.77,Minor parsing artifact / formatting mismatch
RUN_235,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_236,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,1.95,Minor parsing artifact / formatting mismatch
RUN_237,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.57,Minor parsing artifact / formatting mismatch
RUN_238,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.09,Minor parsing artifact / formatting mismatch
RUN_239,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_240,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_241,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_242,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_243,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_244,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.59,Minor parsing artifact / formatting mismatch
RUN_245,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_246,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_247,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_248,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_249,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_250,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.09,Minor parsing artifact / formatting mismatch
RUN_251,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_252,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_253,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_254,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.39,Minor parsing artifact / formatting mismatch
RUN_255,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_256,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.27,Minor parsing artifact / formatting mismatch
RUN_257,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_258,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.18,Minor parsing artifact / formatting mismatch
RUN_259,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_260,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_261,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_262,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_263,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.17,Minor parsing artifact / formatting mismatch
RUN_264,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_265,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,0.0,None
RUN_266,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_267,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_268,Tier 2,STRING DB,Interaction Network (Post-Search),Success,3.42,Minor parsing artifact / formatting mismatch
RUN_269,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_270,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_271,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_272,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,1.32,Minor parsing artifact / formatting mismatch
RUN_273,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_274,Tier 2,NCBI BLAST,Alignment Score (Post-Job Submission),Success,1.86,Minor parsing artifact / formatting mismatch
RUN_275,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
RUN_276,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_277,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.07,Minor parsing artifact / formatting mismatch
RUN_278,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,1.09,Minor parsing artifact / formatting mismatch
RUN_279,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_280,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.62,Minor parsing artifact / formatting mismatch
RUN_281,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_282,Tier 2,Primer3Web,Primer Output (Post-Calculation),Success,0.0,None
RUN_283,Tier 2,STRING DB,Interaction Network (Post-Search),Success,0.0,None
