Run ID,Wrapper Tier,Data Type,Source,Wrapper Template,Endpoint URL,Targetted Extracted Attributes,Status,Error Rate (%),Notes/Error Details
RUN_011,Tier 0,tabular,ClinVar,my_table_table_wrapper_1677a3e2-2688-4685-ac54-d504b42d0d1b.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=PIK3CA,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.14,Minor parsing artifact / formatting mismatch
RUN_012,Tier 0,tabular,ClinVar,my_table_table_wrapper_949b670b-da3f-4b46-a961-711c00bf3217.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=VHL,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.59,Minor parsing artifact / formatting mismatch
RUN_013,Tier 0,tabular,ClinVar,my_table_table_wrapper_80762291-e4d3-4003-a631-97de171d0874.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=APC,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_014,Tier 0,tabular,ClinVar,my_table_table_wrapper_99682de5-520d-4116-83d2-f94a9ff60d4a.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=CFTR,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_015,Tier 0,tabular,ClinVar,my_table_table_wrapper_4ceb0c37-64a8-42ea-95d3-302e0d5bc17a.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=HTT,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.32,Minor parsing artifact / formatting mismatch
RUN_016,Tier 0,tabular,ClinVar,my_table_table_wrapper_ed9a2738-c140-4e2f-bc7a-2ac8dc44a2e9.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=MTHFR,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_017,Tier 0,tabular,ClinVar,my_table_table_wrapper_40834387-3ff1-44fe-bdd3-8db02ea9655e.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=MYC,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_018,Tier 0,tabular,ClinVar,my_table_table_wrapper_3a00986d-e27e-4b0e-a328-515c767a0fc1.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=VEGFA,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.55,Minor parsing artifact / formatting mismatch
RUN_019,Tier 0,tabular,ClinVar,my_table_table_wrapper_3342e22b-4e29-4578-810b-db4aab5faa58.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=TNF,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_020,Tier 0,tabular,ClinVar,my_table_table_wrapper_89b73a7a-51f7-4366-bf9a-e5f35a9a60e1.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=IL6,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_021,Tier 0,tabular,ClinVar,my_table_table_wrapper_91b3f775-084a-43fc-be05-374d57a78499.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=INS,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_022,Tier 0,tabular,ClinVar,my_table_table_wrapper_f8e135fd-23a3-40b4-8479-1987607869f5.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=AKT1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_023,Tier 0,tabular,ClinVar,my_table_table_wrapper_11c205ee-c863-4ac5-bcde-943f794fad5e.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=ESR1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_024,Tier 0,tabular,ClinVar,my_table_table_wrapper_37bb9b9f-f54d-4d84-bcac-05fc1b3e6802.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=MAPK1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.08,Minor parsing artifact / formatting mismatch
RUN_025,Tier 0,tabular,ClinVar,my_table_table_wrapper_5560d2e8-128d-4976-a35c-edc4b818841a.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=CDK4,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.26,Minor parsing artifact / formatting mismatch
RUN_026,Tier 0,tabular,ClinVar,my_table_table_wrapper_0dd3c2b6-7608-484b-8706-eb9db9b4b9c9.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=CDK6,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_027,Tier 0,tabular,ClinVar,my_table_table_wrapper_78c5f2c4-b1b7-46c9-9a3e-ef69b9ef36d3.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=ATM,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_028,Tier 0,tabular,ClinVar,my_table_table_wrapper_8df2eaa7-df82-49e5-93fc-6e86cbb96f2b.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=CHEK2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_029,Tier 0,tabular,ClinVar,my_table_table_wrapper_3dee7ecd-e344-4747-9f77-c34fa63ff5b8.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=MLH1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_030,Tier 0,tabular,ClinVar,my_table_table_wrapper_54f116c2-57cc-4c80-a616-39355d585cb8.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=MSH2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_031,Tier 0,tabular,ClinVar,my_table_table_wrapper_8ecfa8b3-6753-4f1e-8d7c-6415b5802b37.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=MSH6,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.59,Minor parsing artifact / formatting mismatch
RUN_032,Tier 0,tabular,ClinVar,my_table_table_wrapper_f64cbb5f-68bc-4939-820a-129e4408213b.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=PMS2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.72,Minor parsing artifact / formatting mismatch
RUN_033,Tier 0,tabular,ClinVar,my_table_table_wrapper_cd1273f5-ee47-40a1-bfc3-cc734a32e9f3.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=PALB2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.24,Minor parsing artifact / formatting mismatch
RUN_034,Tier 0,tabular,ClinVar,my_table_table_wrapper_0eb487c5-b3c1-49c6-8c50-cdd6e6a0f258.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=STK11,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_035,Tier 0,tabular,ClinVar,my_table_table_wrapper_70c26587-b32b-4626-b8ce-6ef6b39d66ca.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=CDH1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_036,Tier 0,tabular,ClinVar,my_table_table_wrapper_958de953-c529-4c31-8d1c-cd329c104e7b.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=RB1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_037,Tier 0,tabular,ClinVar,my_table_table_wrapper_a13916aa-5a92-45bd-be17-c724eb914db6.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=RET,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_038,Tier 0,tabular,ClinVar,my_table_table_wrapper_d60c36a4-652d-4eb3-9c02-82e2c7858204.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=MET,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_039,Tier 0,tabular,ClinVar,my_table_table_wrapper_3a901beb-5f47-4771-bd7d-371c5b34772f.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=ALK,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,1.3,Minor parsing artifact / formatting mismatch
RUN_040,Tier 0,tabular,ClinVar,my_table_table_wrapper_61f6dd9c-2312-4174-b1ec-3befcc5e996c.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=ROS1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.46,Minor parsing artifact / formatting mismatch
RUN_041,Tier 0,tabular,ClinVar,my_table_table_wrapper_abe7b12d-5796-443a-87a9-15360b110904.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=BRAF,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.07,Minor parsing artifact / formatting mismatch
RUN_042,Tier 0,tabular,ClinVar,my_table_table_wrapper_1890ae32-cf8c-4a89-9109-2bf6efb3bbf3.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=JAK2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_043,Tier 0,tabular,ClinVar,my_table_table_wrapper_6fc3bb49-069e-4dfd-92d5-f95b1937a50c.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=MPL,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.19,Minor parsing artifact / formatting mismatch
RUN_044,Tier 0,tabular,ClinVar,my_table_table_wrapper_41d42eea-31d7-4dd1-bd22-ff7025032cb4.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=CALR,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_045,Tier 0,tabular,ClinVar,my_table_table_wrapper_e24f6f06-26b1-48c7-9387-98edc7b53f1d.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=TET2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.04,Minor parsing artifact / formatting mismatch
RUN_046,Tier 0,tabular,ClinVar,my_table_table_wrapper_1bff714b-1060-4bfd-b4f4-a81c0af6ccec.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=DNMT3A,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Failure,100.0,Session/Network Timeout
RUN_047,Tier 0,tabular,ClinVar,my_table_table_wrapper_c5b196e7-3e6e-4814-a61e-703e11e3cea5.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=ASXL1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_048,Tier 0,tabular,ClinVar,my_table_table_wrapper_3f509e0a-7241-463b-a6d3-59b782cd39c9.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=SF3B1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.18,Minor parsing artifact / formatting mismatch
RUN_049,Tier 0,tabular,ClinVar,my_table_table_wrapper_c66441ea-c3d9-4b0b-b368-9049defb19c0.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=U2AF1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_050,Tier 0,tabular,ClinVar,my_table_table_wrapper_d3c1a1f8-1de8-4d1f-ac9a-d0e6ef8e017d.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=SRSF2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_051,Tier 0,tabular,ClinVar,my_table_table_wrapper_9db19ce2-d7aa-42e1-a3e7-e0eb0e40c972.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=IDH1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.67,Minor parsing artifact / formatting mismatch
RUN_052,Tier 0,tabular,ClinVar,my_table_table_wrapper_b2b7c0d5-36a8-4967-9ddf-ac1aed963e3a.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=IDH2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_053,Tier 0,tabular,ClinVar,my_table_table_wrapper_0259ca94-9af5-4981-83dd-1f4387f87362.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=FLT3,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_054,Tier 0,tabular,ClinVar,my_table_table_wrapper_ba0d7013-e821-497b-8b81-3e3219db54bc.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=NPM1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.67,Minor parsing artifact / formatting mismatch
RUN_055,Tier 0,tabular,ClinVar,my_table_table_wrapper_00346cdf-62c1-424f-aef8-27357f72ffe4.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=CEBPA,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.44,Minor parsing artifact / formatting mismatch
RUN_056,Tier 0,tabular,ClinVar,my_table_table_wrapper_2d433929-f76e-44de-a192-1e080a2b5e0c.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=RUNX1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_057,Tier 0,tabular,ClinVar,my_table_table_wrapper_8f49934b-14d0-4812-8e3c-b6dba464e8bc.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=KIT,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.3,Minor parsing artifact / formatting mismatch
RUN_058,Tier 0,tabular,ClinVar,my_table_table_wrapper_49821fd8-1b1e-497b-a3df-c6140b3bb82e.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=PDGFRA,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_059,Tier 0,tabular,ClinVar,my_table_table_wrapper_951bcb3a-ad1f-46fb-90f7-d018a85b1a61.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=FGFR1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_060,Tier 0,tabular,ClinVar,my_table_table_wrapper_5414c23e-2628-4cc9-a354-f127b8ee8bd3.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=FGFR2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_061,Tier 0,tabular,ClinVar,my_table_table_wrapper_d86f259e-d701-43a1-ac7e-40385294b500.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=FGFR3,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.3,Minor parsing artifact / formatting mismatch
RUN_062,Tier 0,tabular,DisGeNET,my_table_table_wrapper_a48bc7ca-5aa3-4ddd-9a4b-963ed9e30540.json,https://disgenet.com/search?view=GENES&idents=7157&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_063,Tier 0,tabular,DisGeNET,my_table_table_wrapper_5a8434a6-4e6e-4a2f-a803-d4722a19c69d.json,https://disgenet.com/search?view=GENES&idents=672&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.33,Minor parsing artifact / formatting mismatch
RUN_064,Tier 0,general,DisGeNET,my_general_general_wrapper_4a3db4db-eda7-41bc-9f1b-803ce8e2ee7e.json,https://disgenet.com/search?view=GENES&idents=1956&source=BEFREE&tab=GDA,"Evidence index, Source, Year, PMIDs, Score_gda",Success,0.84,Minor parsing artifact / formatting mismatch
RUN_065,Tier 0,tabular,DisGeNET,my_table_table_wrapper_8392ea6d-d2c0-419f-92ba-a461a9a2e18d.json,https://disgenet.com/search?view=GENES&idents=7422&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.06,Minor parsing artifact / formatting mismatch
RUN_066,Tier 0,tabular,DisGeNET,my_table_table_wrapper_fe86ad38-a2e5-421d-ada8-129c8e7d06e8.json,https://disgenet.com/search?view=GENES&idents=5290&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.12,Minor parsing artifact / formatting mismatch
RUN_067,Tier 0,general,DisGeNET,my_general_general_wrapper_324f00d8-febc-46c6-9807-f90bc1ad3efb.json,https://disgenet.com/search?view=GENES&idents=4609&source=BEFREE&tab=GDA,"Evidence index, Source, Year, PMIDs, Score_gda",Success,0.22,Minor parsing artifact / formatting mismatch
RUN_068,Tier 0,tabular,DisGeNET,my_table_table_wrapper_865ac0ba-e31a-4a55-9b98-f1c816d53dde.json,https://disgenet.com/search?view=GENES&idents=348&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_069,Tier 0,tabular,DisGeNET,my_table_table_wrapper_0cc4523d-b40f-47be-b349-e1c78f26fc62.json,https://disgenet.com/search?view=GENES&idents=207&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_070,Tier 0,tabular,DisGeNET,my_table_table_wrapper_b4ccec10-a2d5-4bf4-934c-68202f493056.json,https://disgenet.com/search?view=GENES&idents=5728&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_071,Tier 0,tabular,DisGeNET,my_table_table_wrapper_4d3d29de-4eb1-4d12-a018-2e201b55f913.json,https://disgenet.com/search?view=GENES&idents=324&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_072,Tier 0,tabular,DisGeNET,my_table_table_wrapper_b9e19768-212f-4a6b-bf90-22b19bfc4aca.json,https://disgenet.com/search?view=GENES&idents=1080&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_073,Tier 0,tabular,DisGeNET,my_table_table_wrapper_27463aa8-49ba-4b07-abe7-c33ebcafaee6.json,https://disgenet.com/search?view=GENES&idents=3320&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_074,Tier 0,tabular,DisGeNET,my_table_table_wrapper_421419ea-60eb-4b16-9a20-b73eccec8303.json,https://disgenet.com/search?view=GENES&idents=4524&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_075,Tier 0,tabular,DisGeNET,my_table_table_wrapper_a2cf2910-4051-4395-872f-7743dbdd9548.json,https://disgenet.com/search?view=GENES&idents=7423&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_076,Tier 0,tabular,DisGeNET,my_table_table_wrapper_ea18b6ba-7398-49ad-93f4-f87a773f41cb.json,https://disgenet.com/search?view=GENES&idents=7124&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.42,Minor parsing artifact / formatting mismatch
RUN_077,Tier 0,tabular,DisGeNET,my_table_table_wrapper_f8e22c49-66f5-4206-800e-9057001ecd62.json,https://disgenet.com/search?view=GENES&idents=3569&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_078,Tier 0,tabular,DisGeNET,my_table_table_wrapper_671f279f-f813-4934-8323-a4bac060610f.json,https://disgenet.com/search?view=GENES&idents=3630&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_079,Tier 0,tabular,DisGeNET,my_table_table_wrapper_453e58a9-d876-4387-8a12-16d99b84fc01.json,https://disgenet.com/search?view=GENES&idents=2099&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_080,Tier 0,tabular,DisGeNET,my_table_table_wrapper_dc9bf781-e668-4186-a743-b877067470cc.json,https://disgenet.com/search?view=GENES&idents=5594&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.19,Minor parsing artifact / formatting mismatch
RUN_081,Tier 0,tabular,DisGeNET,my_table_table_wrapper_b2cc5f0a-b0e9-43bc-8cd3-138faf1442a1.json,https://disgenet.com/search?view=GENES&idents=1017&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.08,Minor parsing artifact / formatting mismatch
RUN_082,Tier 0,tabular,DisGeNET,my_table_table_wrapper_19a07858-0eef-4753-9e24-fbee4b6d7274.json,https://disgenet.com/search?view=GENES&idents=1021&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.6,Minor parsing artifact / formatting mismatch
RUN_083,Tier 0,tabular,DisGeNET,my_table_table_wrapper_d3172382-2a25-49bd-9a96-c825518e9787.json,https://disgenet.com/search?view=GENES&idents=472&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_084,Tier 0,tabular,DisGeNET,my_table_table_wrapper_aab80dc6-b670-4c03-8020-df69328415d6.json,https://disgenet.com/search?view=GENES&idents=11200&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.79,Minor parsing artifact / formatting mismatch
RUN_085,Tier 0,tabular,DisGeNET,my_table_table_wrapper_55fc103a-49ee-4e51-bcdf-c77e01846fdd.json,https://disgenet.com/search?view=GENES&idents=4292&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.38,Minor parsing artifact / formatting mismatch
RUN_086,Tier 0,tabular,DisGeNET,my_table_table_wrapper_e6616968-19e0-40d3-bdac-2a0367a0ad39.json,https://disgenet.com/search?view=GENES&idents=4436&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_087,Tier 0,tabular,DisGeNET,my_table_table_wrapper_7168b470-fd1a-4ce4-899e-a6890928dfa0.json,https://disgenet.com/search?view=GENES&idents=2956&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_088,Tier 0,tabular,DisGeNET,my_table_table_wrapper_39befafc-13f0-4ba7-a8bb-11742c315b28.json,https://disgenet.com/search?view=GENES&idents=5395&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.36,Minor parsing artifact / formatting mismatch
RUN_089,Tier 0,tabular,DisGeNET,my_table_table_wrapper_0f8896a0-9733-4467-aca4-f154f4433ad1.json,https://disgenet.com/search?view=GENES&idents=79728&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_090,Tier 0,tabular,DisGeNET,my_table_table_wrapper_b571b367-2632-4b88-8755-d6a5ca7ca4f3.json,https://disgenet.com/search?view=GENES&idents=6794&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
RUN_091,Tier 0,tabular,DisGeNET,my_table_table_wrapper_3185a0ba-1644-4a05-8833-be5b9b8a11be.json,https://disgenet.com/search?view=GENES&idents=999&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.42,Minor parsing artifact / formatting mismatch
RUN_092,Tier 0,tabular,DisGeNET,my_table_table_wrapper_a197d264-cf17-4fbc-8fb5-1f4b36e1ae83.json,https://disgenet.com/search?view=GENES&idents=5925&source=ALL&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.26,Minor parsing artifact / formatting mismatch
RUN_093,Tier 0,tabular,DisGeNET,my_table_table_wrapper_e024209e-3ead-4443-9b3f-0201a1009ecd.json,https://disgenet.com/search?view=GENES&idents=5979&source=CURATED&tab=GDA,"Disease, N genes, N variants, DPI, DSI, Score_gda",Success,0.0,No extraction errors observed
